v-sweep,v-sweep_1,v1,v2,vbn,vbp,vcn,vcp,vmeas#branch,vout
0.194,0.194,0.194,0.8,0.497192514,0.918152873,0.628508739,0.744180818,0,0.002764198
0.195,0.195,0.195,0.8,0.497192514,0.918152873,0.628508741,0.74418081,0,0.002764198
0.196,0.196,0.196,0.8,0.497192514,0.918152874,0.628508736,0.744180801,0,0.002764198
0.197,0.197,0.197,0.8,0.497192514,0.918152874,0.628508741,0.744180815,0,0.002764198
0.198,0.198,0.198,0.8,0.497192514,0.918152873,0.628508735,0.744180811,0,0.002764199
0.199,0.199,0.199,0.8,0.497192514,0.918152874,0.62850874,0.744180797,0,0.002764198
0.2,0.2,0.2,0.8,0.497192514,0.918152874,0.628508744,0.744180826,0,0.002764198
0.201,0.201,0.201,0.8,0.497192514,0.918152873,0.628508739,0.744180806,0,0.002764199
0.202,0.202,0.202,0.8,0.497192514,0.918152873,0.628508742,0.744180817,0,0.002764199
0.203,0.203,0.203,0.8,0.497192514,0.918152874,0.62850874,0.7441808,0,0.002764197
0.204,0.204,0.204,0.8,0.497192514,0.918152874,0.628508741,0.744180821,0,0.002764198
0.205,0.205,0.205,0.8,0.497192515,0.918152873,0.628508743,0.744180802,0,0.002764198
0.206,0.206,0.206,0.8,0.497192514,0.918152873,0.628508743,0.744180798,0,0.002764199
0.207,0.207,0.207,0.8,0.497192514,0.918152874,0.628508739,0.744180804,0,0.0027642
0.208,0.208,0.208,0.8,0.497192514,0.918152873,0.628508741,0.744180806,0,0.0027642
0.209,0.209,0.209,0.8,0.497192514,0.918152873,0.628508737,0.74418082,0,0.002764199
0.21,0.21,0.21,0.8,0.497192514,0.918152873,0.628508743,0.744180805,0,0.002764199
0.211,0.211,0.211,0.8,0.497192514,0.918152874,0.628508741,0.744180806,0,0.0027642
0.212,0.212,0.212,0.8,0.497192514,0.918152874,0.628508742,0.744180798,0,0.0027642
0.213,0.213,0.213,0.8,0.497192514,0.918152873,0.628508738,0.744180817,0,0.0027642
0.214,0.214,0.214,0.8,0.497192514,0.918152873,0.628508742,0.744180823,0,0.0027642
0.215,0.215,0.215,0.8,0.497192514,0.918152873,0.628508742,0.744180807,0,0.0027642
0.216,0.216,0.216,0.8,0.497192514,0.918152874,0.628508742,0.744180796,0,0.0027642
0.217,0.217,0.217,0.8,0.497192514,0.918152872,0.628508741,0.744180799,0,0.0027642
0.218,0.218,0.218,0.8,0.497192514,0.918152873,0.628508741,0.744180805,0,0.002764201
0.219,0.219,0.219,0.8,0.497192514,0.918152874,0.628508741,0.744180819,0,0.0027642
0.22,0.22,0.22,0.8,0.497192514,0.918152873,0.628508745,0.7441808,0,0.002764201
0.221,0.221,0.221,0.8,0.497192514,0.918152874,0.628508736,0.744180816,0,0.002764201
0.222,0.222,0.222,0.8,0.497192514,0.918152874,0.628508745,0.744180812,0,0.0027642
0.223,0.223,0.223,0.8,0.497192514,0.918152874,0.628508737,0.744180814,0,0.0027642
0.224,0.224,0.224,0.8,0.497192514,0.918152873,0.628508738,0.744180826,0,0.0027642
0.225,0.225,0.225,0.8,0.497192514,0.918152873,0.628508738,0.744180812,0,0.002764201
0.226,0.226,0.226,0.8,0.497192514,0.918152874,0.628508744,0.744180809,0,0.002764201
0.227,0.227,0.227,0.8,0.497192514,0.918152873,0.628508739,0.744180811,0,0.002764201
0.228,0.228,0.228,0.8,0.497192514,0.918152873,0.62850874,0.744180815,0,0.002764201
0.229,0.229,0.229,0.8,0.497192514,0.918152873,0.628508744,0.744180806,0,0.002764202
0.23,0.23,0.23,0.8,0.497192514,0.918152873,0.628508741,0.744180807,0,0.002764202
0.231,0.231,0.231,0.8,0.497192514,0.918152873,0.628508741,0.744180803,0,0.002764202
0.232,0.232,0.232,0.8,0.497192514,0.918152873,0.628508739,0.744180806,0,0.002764202
0.233,0.233,0.233,0.8,0.497192514,0.918152873,0.628508739,0.744180818,0,0.002764202
0.234,0.234,0.234,0.8,0.497192514,0.918152873,0.628508736,0.744180798,0,0.002764202
0.235,0.235,0.235,0.8,0.497192514,0.918152874,0.628508739,0.744180795,0,0.002764203
0.236,0.236,0.236,0.8,0.497192514,0.918152873,0.628508745,0.744180796,0,0.002764202
0.237,0.237,0.237,0.8,0.497192514,0.918152874,0.628508739,0.744180822,0,0.002764202
0.238,0.238,0.238,0.8,0.497192514,0.918152872,0.628508743,0.744180798,0,0.002764202
0.239,0.239,0.239,0.8,0.497192514,0.918152873,0.628508744,0.744180816,0,0.002764203
0.24,0.24,0.24,0.8,0.497192514,0.918152874,0.628508735,0.744180803,0,0.002764202
0.241,0.241,0.241,0.8,0.497192514,0.918152873,0.62850874,0.744180812,0,0.002764203
0.242,0.242,0.242,0.8,0.497192514,0.918152874,0.628508735,0.744180798,0,0.002764203
0.243,0.243,0.243,0.8,0.497192514,0.918152873,0.62850874,0.744180826,0,0.002764202
0.244,0.244,0.244,0.8,0.497192514,0.918152874,0.62850874,0.744180818,0,0.002764202
0.245,0.245,0.245,0.8,0.497192514,0.918152874,0.628508738,0.744180797,0,0.002764203
0.246,0.246,0.246,0.8,0.497192514,0.918152873,0.628508741,0.74418081,0,0.002764203
0.247,0.247,0.247,0.8,0.497192514,0.918152873,0.628508741,0.744180809,0,0.002764203
0.248,0.248,0.248,0.8,0.497192514,0.918152873,0.628508745,0.744180811,0,0.002764203
0.249,0.249,0.249,0.8,0.497192514,0.918152874,0.628508737,0.744180809,0,0.002764204
